t,stiff_force,compliant_force,stiff_torque,compliant_torque
0.3440,0.0000,0.0000,882.1244,209.2720
0.3460,0.0000,0.0000,883.7706,212.0904
0.3480,0.0000,0.0000,886.1432,209.4248
0.3500,0.0000,0.0000,887.8860,212.2223
0.3520,0.0000,0.0000,890.2662,209.4734
0.3540,0.0000,0.0000,892.0321,212.2420
0.3560,0.0000,0.0000,894.4446,209.3765
0.3580,0.0000,0.0000,896.2484,212.2313
0.3600,0.0000,0.0000,898.7024,209.5206
0.3620,0.0000,0.0000,900.5497,212.2955
0.3640,0.0000,0.0000,903.0490,209.5967
0.3660,0.0000,0.0000,904.9422,212.4240
0.3680,0.0000,0.0000,907.4000,209.8380
0.3700,0.0000,0.0000,909.3665,212.3763
0.3720,0.0000,0.0000,911.9709,209.6836
0.3740,0.0000,0.0000,913.9643,212.5189
0.3760,0.0000,0.0000,916.5345,209.4127
0.3780,0.0000,0.0000,918.5502,212.2644
0.3800,0.0000,0.0000,921.3189,209.6241
0.3820,0.0000,0.0000,923.4628,212.4328
0.3840,0.0000,0.0000,926.2459,209.6520
0.3860,0.0000,0.0000,928.4157,212.3126
0.3880,0.0000,0.0000,931.2839,209.5674
0.3900,0.0000,0.0000,933.5333,212.7246
0.3920,0.0000,0.0000,936.4256,207.9006
0.3940,0.0000,0.0000,938.7066,213.2843
0.3960,0.0000,0.0000,941.5752,210.3613
0.3980,0.0000,0.0000,943.8627,212.7862
0.4000,0.0000,0.0000,946.8167,209.7720
0.4020,0.0000,0.0000,949.1733,212.3074
0.4040,0.0000,0.0000,952.1890,209.1877
0.4060,0.0000,0.0000,954.6022,211.8343
0.4080,0.0000,0.0000,957.6720,208.6371
0.4100,0.0000,0.0000,960.1373,211.9251
0.4120,0.0000,0.0000,963.2586,209.5000
0.4140,0.0000,0.0000,965.7748,212.4887
0.4160,0.0000,0.0000,968.9470,209.8504
0.4180,0.0000,0.0000,971.5092,212.7104
0.4200,0.0000,0.0000,974.7302,209.9701
0.4220,0.0000,0.0000,977.4207,212.7037
0.4240,0.0000,0.0000,980.7435,210.1123
0.4260,0.0000,0.0000,983.2516,212.3743
0.4280,0.0000,0.0000,986.5518,209.7280
0.4300,0.0000,0.0000,989.1215,212.6016
0.4320,0.0000,0.0000,992.3949,209.9059
0.4340,0.0000,0.0000,995.0955,212.7391
0.4360,0.0000,0.0000,998.4721,210.0071
0.4380,0.0000,0.0000,1001.3436,212.8305
0.4400,0.0000,0.0000,1004.8522,210.0943
0.4420,0.0000,0.0000,1007.7420,212.9112
0.4440,0.0000,0.0000,1011.1916,210.1771
0.4460,0.0000,0.0000,1014.0645,212.9948
0.4480,0.0000,0.0000,1017.7953,210.2604
0.4500,0.0000,0.0000,1020.8755,213.0798
0.4520,0.0000,0.0000,1024.5885,210.2944
0.4540,0.0000,0.0000,1027.5979,213.0123
0.4560,0.0000,0.0000,1031.2898,210.2010
0.4580,0.0000,0.0000,1034.3872,213.0013
0.4600,0.0000,0.0000,1038.2366,210.2323
0.4620,0.0000,0.0000,1041.4512,212.9990
0.4640,0.0000,0.0000,1045.3117,210.2496
0.4660,0.0000,0.0000,1048.4704,213.1494
0.4680,0.0000,0.0000,1052.3571,210.5071
0.4700,0.0000,0.0000,1055.6416,213.4919
0.4720,0.0000,0.0000,1059.9405,210.9099
0.4740,0.0000,0.0000,1063.2906,213.7966
0.4760,0.0000,0.0000,1066.9726,210.1330
0.4780,0.0000,0.0000,1070.2229,213.0822
0.4800,0.0000,0.0000,1074.5699,210.3394
0.4820,0.0000,0.0000,1078.1928,213.2291
0.4840,0.0000,0.0000,1082.4258,210.5101
0.4860,0.0000,0.0000,1086.0056,212.0926
0.4880,0.0000,0.0000,1090.2317,208.7756
0.4900,0.0000,0.0000,1093.5741,210.9642
0.4920,0.0000,0.0000,1097.3669,207.5369
0.4940,0.0000,0.0000,1100.6820,209.6858
0.4960,0.0000,0.0000,1105.0787,206.3785
0.4980,0.0000,0.0000,1108.8301,208.7347
0.5000,0.0000,0.0000,1113.2239,205.5147
0.5020,0.0000,0.0000,1117.1804,207.9849
0.5040,0.0000,0.0000,1121.7454,204.8947
0.5060,0.0000,0.0000,1125.6616,207.4986
0.5080,0.0000,0.0000,1130.0554,204.5132
0.5100,0.0000,0.0000,1133.8752,207.2141
0.5120,0.0000,0.0000,1138.3906,204.3282
0.5140,0.0000,0.0000,1127.2742,207.1154
0.5160,0.0000,0.0000,1117.4803,204.2869
0.5180,0.0000,0.0000,1109.1879,207.1235
0.5200,0.0000,0.0000,1102.2244,204.3475
0.5220,0.0000,0.0000,1096.3217,207.2257
0.5240,0.0000,0.0000,1091.3569,204.4169
0.5260,0.0000,0.0000,1086.5344,206.4602
0.5280,0.0000,0.0000,1082.9953,201.6605
0.5300,0.0000,0.0000,1080.0003,207.3105
0.5320,0.0000,0.0000,1077.4836,204.4232
0.5340,0.0000,0.0000,1075.3443,207.1440
0.5360,0.0000,0.0000,1073.5584,204.3831
0.5380,0.0000,0.0000,1072.0269,207.2962
0.5400,0.0000,0.0000,1070.7621,204.6296
0.5420,0.0000,0.0000,1069.6623,207.5813
0.5440,0.0000,0.0000,1068.7707,204.9075
0.5460,0.0000,0.0000,1067.9803,207.8456
0.5480,0.0000,0.0000,1067.3601,205.1559
0.5500,0.0000,0.0000,1066.7843,208.0817
0.5520,0.0000,0.0000,1066.3520,205.3805
0.5540,0.0000,0.0000,1065.9253,208.2936
0.5560,0.0000,0.0000,1065.6292,205.5804
0.5580,0.0000,0.0000,1065.3144,208.4818
0.5600,0.0000,0.0000,1065.1198,205.7671
0.5620,0.0000,0.0000,1064.8851,208.6656
0.5640,0.0000,0.0000,1064.7646,205.9379
0.5660,0.0000,0.0000,1064.5882,208.8256
0.5680,0.0000,0.0000,1064.5218,206.0892
0.5700,0.0000,0.0000,1064.3945,208.9696
0.5720,0.0000,0.0000,1064.3704,206.2329
0.5740,0.0000,0.0000,1064.2652,209.1131
0.5760,0.0000,0.0000,1063.3405,204.6756
0.5780,0.0000,0.0000,1063.2522,207.7885
0.5800,0.0000,0.0000,1063.2684,205.2178
0.5820,0.0000,0.0000,1063.2023,208.2238
0.5840,0.0000,0.0000,1063.2375,205.5670
